instance,ALG1_obj,ALG1_runtime,ALG2_obj,ALG2_runtime,HRA_obj,HRA_runtime
rasp_gaussian_m250_k23_c25_s100_k22_g2,919999.230610,121.723411,1233017.170861,672.772350,2618817.958736,287.135454
rasp_gaussian_m250_k23_c25_s100_k22_g3,1216299.111654,125.944807,1557635.428636,669.813906,3387767.073464,274.465918
rasp_gaussian_m250_k23_c25_s100_k22_g4,1053339.003638,140.968503,1445093.347196,587.494405,3064425.826204,279.831765
rasp_gaussian_m250_k23_c25_s100_k22_g5,1037471.775434,123.648676,1361233.240745,583.060177,3118264.042786,275.942403
rasp_gaussian_m250_k23_c25_s100_k22_g6,1019461.255236,124.500470,1371981.212377,588.637774,2985432.060683,279.691706
rasp_gaussian_m250_k23_c25_s100_k22_g7,1075676.865518,127.989039,1405505.918093,622.098632,3113181.442486,282.670031
rasp_gaussian_m250_k23_c25_s100_k22_g8,1090339.395183,125.326656,1446236.016512,588.896059,3328264.728674,283.016582
rasp_gaussian_m250_k23_c25_s100_k22_g9,1092143.788525,127.989379,1435872.023853,606.411561,3366481.743128,289.299839
rasp_gaussian_m250_k24_c25_s100_k23_g1,990392.202013,162.794663,1319946.397053,651.302989,2080110.734079,330.445556
rasp_gaussian_m250_k24_c25_s100_k23_g10,1096577.899961,138.948236,1390696.370654,645.911969,2079489.621593,327.992962
rasp_gaussian_m250_k24_c25_s100_k23_g2,1107575.480032,153.116094,1492056.528604,647.901294,2224025.278086,322.772481
rasp_gaussian_m250_k24_c25_s100_k23_g3,1043868.688322,129.506992,1391954.217555,636.843697,2048422.607667,324.957975
rasp_gaussian_m250_k24_c25_s100_k23_g4,1188364.575531,145.020487,1505964.004977,625.333126,2301620.239520,327.895244
rasp_gaussian_m250_k24_c25_s100_k23_g5,1073089.479973,133.982150,1461934.118365,628.861141,2131958.756737,324.797197
rasp_gaussian_m250_k24_c25_s100_k23_g6,1094203.054813,139.608339,1455540.292604,638.689618,2208008.318047,320.819285
rasp_gaussian_m250_k24_c25_s100_k23_g7,1118984.283765,137.432050,1425748.153222,656.464415,2114858.207434,321.203845
rasp_gaussian_m250_k24_c25_s100_k23_g8,938803.539259,143.132611,1248525.264381,637.655381,2028041.461640,328.219499
rasp_gaussian_m250_k24_c25_s100_k23_g9,1067894.567403,165.973976,1469272.372887,631.786729,2191247.026001,328.107469
rasp_gaussian_m250_k25_c25_s100_k24_g1,1170199.365565,153.849414,1570931.196844,708.358378,2911822.972351,360.578772
rasp_gaussian_m250_k25_c25_s100_k24_g10,1172207.528650,151.724786,1572659.646608,802.481234,3077187.378069,359.713666
rasp_gaussian_m250_k25_c25_s100_k24_g2,959247.407395,164.081031,1290979.008302,719.002411,2401745.520496,371.854149
rasp_gaussian_m250_k25_c25_s100_k24_g3,1179481.249906,154.280960,1528369.008439,694.709788,2909382.033526,353.553293
rasp_gaussian_m250_k25_c25_s100_k24_g4,1074661.821349,151.692448,1359350.406128,718.215936,2475554.930679,363.633244
rasp_gaussian_m250_k25_c25_s100_k24_g5,1049118.428010,154.680012,1378884.158009,715.966931,2617203.126101,364.707197
rasp_gaussian_m250_k25_c25_s100_k24_g6,1045249.689599,149.201813,1471569.306049,701.437669,2793830.573426,365.064156
rasp_gaussian_m250_k25_c25_s100_k24_g7,1160942.230089,153.714358,1497404.591887,721.672149,2729341.378403,363.215801
rasp_gaussian_m250_k25_c25_s100_k24_g8,1078383.413558,165.503305,1456190.045678,786.727183,2708335.586239,368.987961
rasp_gaussian_m250_k25_c25_s100_k24_g9,1122768.045244,152.143221,1449495.402589,688.204909,2819262.524253,374.673773
rasp_gaussian_m250_k26_c25_s100_k25_g1,1018503.964229,164.757182,1301284.305972,909.518838,2461720.176772,426.559850
rasp_gaussian_m250_k26_c25_s100_k25_g10,1102510.744387,161.637300,1460726.976323,782.791542,2748702.268607,433.351399
rasp_gaussian_m250_k26_c25_s100_k25_g2,1162652.176558,167.053224,1485324.148053,763.689347,2966628.922536,415.094666
rasp_gaussian_m250_k26_c25_s100_k25_g3,992828.875652,184.668941,1285848.836341,782.546344,2493239.457263,425.764725
rasp_gaussian_m250_k26_c25_s100_k25_g4,1124947.452756,161.457551,1536041.925273,829.356575,2820447.125484,424.711024
